timestamp,model,class,confidence,x1,y1,x2,y2
2026-01-07 13:05:50,YOLOv8-nano,person,0.518,434,535,1916,1066
2026-01-07 13:05:51,YOLOv8-nano,person,0.520,1,276,1612,1062
2026-01-07 13:05:52,YOLOv8-nano,person,0.595,4,331,1843,1065
2026-01-07 13:05:53,YOLOv8-nano,person,0.574,131,4,1577,1057
2026-01-07 13:05:53,YOLOv8-nano,person,0.612,235,7,1878,1054
2026-01-07 13:05:53,YOLOv8-nano,person,0.536,489,0,1918,1061
2026-01-07 13:05:53,YOLOv8-nano,person,0.626,760,23,1917,1063
2026-01-07 13:05:53,YOLOv8-nano,person,0.720,746,38,1919,1060
2026-01-07 13:05:54,YOLOv8-nano,person,0.815,740,42,1919,1061
2026-01-07 13:05:54,YOLOv8-nano,person,0.830,716,25,1917,1060
2026-01-07 13:05:54,YOLOv8-nano,person,0.871,687,11,1917,1067
2026-01-07 13:05:54,YOLOv8-nano,person,0.848,669,8,1917,1065
2026-01-07 13:05:54,YOLOv8-nano,person,0.847,635,16,1916,1061
2026-01-07 13:05:54,YOLOv8-nano,person,0.902,2,4,1914,1060
2026-01-07 13:05:54,YOLOv8-nano,person,0.823,8,5,1909,1056
2026-01-07 13:05:54,YOLOv8-nano,person,0.765,12,3,1910,1058
2026-01-07 13:05:54,YOLOv8-nano,person,0.790,10,4,1913,1059
2026-01-07 13:05:54,YOLOv8-nano,person,0.687,8,16,1912,1061
2026-01-07 13:05:54,YOLOv8-nano,person,0.801,12,2,1911,1059
2026-01-07 13:05:54,YOLOv8-nano,person,0.841,11,4,1914,1063
2026-01-07 13:05:55,YOLOv8-nano,person,0.794,11,4,1900,1068
2026-01-07 13:05:55,YOLOv8-nano,person,0.826,8,3,1874,1065
2026-01-07 13:05:55,YOLOv8-nano,person,0.770,5,8,1897,1066
2026-01-07 13:05:55,YOLOv8-nano,person,0.704,10,3,1877,1066
2026-01-07 13:05:55,YOLOv8-nano,person,0.570,0,321,987,1063
2026-01-07 13:05:55,YOLOv8-nano,person,0.601,81,3,1918,1067
2026-01-07 13:05:55,YOLOv8-nano,person,0.686,798,7,1919,1072
2026-01-07 13:05:55,YOLOv8-nano,person,0.587,815,12,1919,1067
2026-01-07 13:05:55,YOLOv8-nano,person,0.521,118,10,1908,1067
2026-01-07 13:05:55,YOLOv8-nano,person,0.621,806,6,1910,1056
2026-01-07 13:05:55,YOLOv8-nano,person,0.582,798,4,1919,1070
2026-01-07 13:05:55,YOLOv8-nano,person,0.522,806,3,1916,1063
2026-01-07 13:05:55,YOLOv8-nano,person,0.561,167,0,1910,1063
2026-01-07 13:05:56,YOLOv8-nano,person,0.567,174,0,1912,1063
2026-01-07 13:05:56,YOLOv8-nano,person,0.664,165,0,1915,1062
2026-01-07 13:05:56,YOLOv8-nano,person,0.718,89,1,1918,1064
2026-01-07 13:05:56,YOLOv8-nano,person,0.670,79,1,1917,1066
2026-01-07 13:05:56,YOLOv8-nano,person,0.545,830,57,1825,1056
2026-01-07 13:05:56,YOLOv8-nano,person,0.517,808,67,1913,1051
2026-01-07 13:05:56,YOLOv8-nano,person,0.501,280,595,970,1072
2026-01-07 13:05:56,YOLOv8-nano,person,0.738,818,71,1918,1058
2026-01-07 13:05:56,YOLOv8-nano,person,0.569,280,601,966,1071
2026-01-07 13:05:56,YOLOv8-nano,person,0.745,804,73,1918,1053
2026-01-07 13:05:56,YOLOv8-nano,person,0.532,273,609,952,1069
2026-01-07 13:05:56,YOLOv8-nano,person,0.795,805,75,1915,1055
2026-01-07 13:05:56,YOLOv8-nano,person,0.791,818,77,1918,1054
2026-01-07 13:05:56,YOLOv8-nano,person,0.843,822,79,1918,1058
2026-01-07 13:05:56,YOLOv8-nano,person,0.613,264,641,979,1072
2026-01-07 13:05:56,YOLOv8-nano,person,0.811,823,83,1914,1058
2026-01-07 13:05:56,YOLOv8-nano,person,0.656,262,651,980,1073
2026-01-07 13:05:57,YOLOv8-nano,person,0.771,817,82,1915,1061
2026-01-07 13:05:57,YOLOv8-nano,person,0.548,251,658,970,1073
2026-01-07 13:05:57,YOLOv8-nano,person,0.832,818,86,1916,1061
2026-01-07 13:05:57,YOLOv8-nano,person,0.532,252,660,975,1073
2026-01-07 13:05:57,YOLOv8-nano,person,0.794,808,83,1871,1059
2026-01-07 13:05:57,YOLOv8-nano,person,0.500,249,653,975,1074
2026-01-07 13:05:57,YOLOv8-nano,person,0.792,793,70,1912,1050
2026-01-07 13:05:57,YOLOv8-nano,person,0.501,218,639,950,1071
2026-01-07 13:05:57,YOLOv8-nano,person,0.757,787,70,1909,1051
2026-01-07 13:05:57,YOLOv8-nano,person,0.780,782,65,1915,1056
2026-01-07 13:05:57,YOLOv8-nano,person,0.796,699,4,1916,1058
2026-01-07 13:05:57,YOLOv8-nano,person,0.526,67,446,850,1013
2026-01-07 13:05:57,YOLOv8-nano,person,0.509,693,7,1838,1053
2026-01-07 13:05:57,YOLOv8-nano,person,0.736,689,5,1907,1060
2026-01-07 13:05:57,YOLOv8-nano,person,0.743,680,4,1911,1061
2026-01-07 13:05:57,YOLOv8-nano,person,0.609,680,5,1904,1060
2026-01-07 13:05:57,YOLOv8-nano,person,0.640,675,5,1900,1060
2026-01-07 13:05:57,YOLOv8-nano,person,0.759,677,4,1900,1065
2026-01-07 13:05:58,YOLOv8-nano,person,0.716,663,6,1877,1062
2026-01-07 13:05:58,YOLOv8-nano,person,0.687,660,5,1871,1063
2026-01-07 13:05:58,YOLOv8-nano,person,0.542,0,388,809,988
2026-01-07 13:05:58,YOLOv8-nano,person,0.654,622,4,1877,1064
2026-01-07 13:05:58,YOLOv8-nano,person,0.693,658,4,1875,1063
2026-01-07 13:05:58,YOLOv8-nano,person,0.572,604,4,1876,1062
2026-01-07 13:05:58,YOLOv8-nano,person,0.808,625,4,1876,1067
2026-01-07 13:05:58,YOLOv8-nano,person,0.759,621,5,1880,1067
2026-01-07 13:05:58,YOLOv8-nano,person,0.769,615,6,1856,1067
2026-01-07 13:05:58,YOLOv8-nano,person,0.787,614,6,1861,1066
2026-01-07 13:05:59,YOLOv8-nano,person,0.736,622,6,1879,1066
2026-01-07 13:05:59,YOLOv8-nano,person,0.711,631,6,1872,1067
2026-01-07 13:05:59,YOLOv8-nano,person,0.725,630,6,1874,1067
2026-01-07 13:05:59,YOLOv8-nano,person,0.563,629,6,1843,1062
2026-01-07 13:05:59,YOLOv8-nano,person,0.614,1,5,1894,1066
2026-01-07 13:05:59,YOLOv8-nano,person,0.620,582,5,1860,1064
2026-01-07 13:05:59,YOLOv8-nano,person,0.724,599,6,1847,1066
2026-01-07 13:05:59,YOLOv8-nano,person,0.796,597,6,1820,1065
2026-01-07 13:05:59,YOLOv8-nano,person,0.565,0,381,761,1049
2026-01-07 13:05:59,YOLOv8-nano,person,0.750,594,6,1836,1064
2026-01-07 13:05:59,YOLOv8-nano,person,0.684,598,6,1858,1065
2026-01-07 13:05:59,YOLOv8-nano,person,0.561,2,3,1911,1069
2026-01-07 13:05:59,YOLOv8-nano,person,0.574,632,7,1861,1064
2026-01-07 13:06:00,YOLOv8-nano,person,0.522,2,0,1906,1068
2026-01-07 13:06:00,YOLOv8-nano,person,0.529,2,0,1912,1069
2026-01-07 13:06:00,YOLOv8-nano,person,0.646,10,0,1889,1059
2026-01-07 13:06:00,YOLOv8-nano,person,0.544,618,7,1851,1065
2026-01-07 13:06:00,YOLOv8-nano,person,0.595,6,11,1793,1066
2026-01-07 13:06:00,YOLOv8-nano,person,0.539,606,6,1842,1066
2026-01-07 13:06:00,YOLOv8-nano,person,0.542,0,0,1904,1067
2026-01-07 13:06:00,YOLOv8-nano,person,0.524,0,0,1902,1066
2026-01-07 13:06:00,YOLOv8-nano,person,0.522,0,0,1908,1070
2026-01-07 13:06:00,YOLOv8-nano,person,0.583,426,14,1893,1062
2026-01-07 13:06:00,YOLOv8-nano,person,0.564,1,9,865,1055
2026-01-07 13:06:00,YOLOv8-nano,person,0.545,79,2,1911,1053
2026-01-07 13:06:01,YOLOv8-nano,person,0.650,709,673,1219,1070
2026-01-07 13:06:01,YOLOv8-nano,person,0.627,701,676,1219,1072
2026-01-07 13:06:01,YOLOv8-nano,person,0.699,689,662,1206,1070
2026-01-07 13:06:01,YOLOv8-nano,person,0.654,693,627,1209,1074
2026-01-07 13:06:01,YOLOv8-nano,person,0.643,250,7,1770,1061
2026-01-07 13:06:01,YOLOv8-nano,person,0.718,696,580,1220,1072
2026-01-07 13:06:01,YOLOv8-nano,person,0.614,728,559,1249,1073
