timestamp,model,class,confidence,x1,y1,x2,y2
2026-01-07 13:45:44,Gun-Detector,person,0.845,513,85,639,479
2026-01-07 13:45:44,Gun-Detector,person,0.841,2,133,491,479
2026-01-07 13:45:44,Gun-Detector,frisbee,0.705,478,99,519,120
2026-01-07 13:45:45,Gun-Detector,person,0.874,513,90,639,479
2026-01-07 13:45:45,Gun-Detector,person,0.830,6,133,484,479
2026-01-07 13:45:45,Gun-Detector,frisbee,0.610,479,99,519,120
2026-01-07 13:45:45,Gun-Detector,person,0.865,513,85,639,479
2026-01-07 13:45:45,Gun-Detector,person,0.833,9,133,484,479
2026-01-07 13:45:45,Gun-Detector,frisbee,0.702,478,99,519,120
2026-01-07 13:45:45,Gun-Detector,person,0.842,19,133,483,479
2026-01-07 13:45:45,Gun-Detector,person,0.831,513,87,639,479
2026-01-07 13:45:45,Gun-Detector,frisbee,0.574,477,98,520,121
2026-01-07 13:45:46,Gun-Detector,person,0.837,9,130,484,479
2026-01-07 13:45:46,Gun-Detector,person,0.800,513,83,639,479
2026-01-07 13:45:46,Gun-Detector,frisbee,0.583,477,98,520,122
2026-01-07 13:45:46,Gun-Detector,person,0.885,1,124,484,479
2026-01-07 13:45:46,Gun-Detector,person,0.790,514,78,639,478
2026-01-07 13:45:46,Gun-Detector,person,0.887,1,124,483,479
2026-01-07 13:45:46,Gun-Detector,person,0.693,512,86,639,478
2026-01-07 13:45:46,Gun-Detector,person,0.880,2,124,483,479
2026-01-07 13:45:46,Gun-Detector,person,0.752,512,92,639,479
2026-01-07 13:45:46,Gun-Detector,person,0.896,0,121,480,479
2026-01-07 13:45:46,Gun-Detector,person,0.753,512,90,639,479
2026-01-07 13:45:47,Gun-Detector,person,0.882,7,115,483,480
2026-01-07 13:45:47,Gun-Detector,person,0.797,512,92,639,479
2026-01-07 13:45:47,Gun-Detector,person,0.901,1,114,483,480
2026-01-07 13:45:47,Gun-Detector,person,0.778,511,86,639,478
2026-01-07 13:45:47,Gun-Detector,person,0.883,0,116,479,479
2026-01-07 13:45:47,Gun-Detector,person,0.809,510,81,639,478
2026-01-07 13:45:47,Gun-Detector,person,0.880,0,125,481,479
2026-01-07 13:45:47,Gun-Detector,person,0.793,511,76,639,478
2026-01-07 13:45:47,Gun-Detector,person,0.879,2,133,483,479
2026-01-07 13:45:47,Gun-Detector,person,0.810,511,84,639,478
2026-01-07 13:45:47,Gun-Detector,person,0.846,1,137,483,479
2026-01-07 13:45:47,Gun-Detector,person,0.823,511,73,639,478
2026-01-07 13:45:48,Gun-Detector,person,0.845,2,138,483,479
2026-01-07 13:45:48,Gun-Detector,person,0.810,511,88,639,479
2026-01-07 13:45:48,Gun-Detector,person,0.850,28,139,484,479
2026-01-07 13:45:48,Gun-Detector,person,0.805,511,90,639,479
2026-01-07 13:45:48,Gun-Detector,person,0.853,11,140,483,479
2026-01-07 13:45:48,Gun-Detector,person,0.815,511,89,639,478
2026-01-07 13:45:48,Gun-Detector,person,0.857,511,84,639,479
2026-01-07 13:45:48,Gun-Detector,person,0.848,0,139,484,479
2026-01-07 13:45:48,Gun-Detector,person,0.868,510,87,639,479
2026-01-07 13:45:48,Gun-Detector,person,0.854,22,140,484,479
2026-01-07 13:45:48,Gun-Detector,person,0.855,512,84,639,479
2026-01-07 13:45:48,Gun-Detector,person,0.831,10,139,483,479
2026-01-07 13:45:49,Gun-Detector,person,0.849,512,79,639,479
2026-01-07 13:45:49,Gun-Detector,person,0.806,0,139,486,479
2026-01-07 13:45:49,Gun-Detector,person,0.853,512,75,639,479
2026-01-07 13:45:49,Gun-Detector,person,0.836,17,139,483,479
2026-01-07 13:45:49,Gun-Detector,person,0.865,512,80,639,479
2026-01-07 13:45:49,Gun-Detector,person,0.820,0,139,484,479
2026-01-07 13:45:49,Gun-Detector,person,0.850,512,79,639,479
2026-01-07 13:45:49,Gun-Detector,person,0.828,0,139,488,479
2026-01-07 13:45:49,Gun-Detector,person,0.830,512,75,639,479
2026-01-07 13:45:49,Gun-Detector,person,0.822,0,140,490,479
2026-01-07 13:45:50,Gun-Detector,person,0.858,512,77,639,479
2026-01-07 13:45:50,Gun-Detector,person,0.839,4,138,484,479
2026-01-07 13:45:50,Gun-Detector,person,0.839,4,139,483,479
2026-01-07 13:45:50,Gun-Detector,person,0.830,512,84,639,479
2026-01-07 13:45:50,Gun-Detector,person,0.855,512,86,639,479
2026-01-07 13:45:50,Gun-Detector,person,0.831,0,136,489,479
2026-01-07 13:45:50,Gun-Detector,person,0.836,512,82,639,479
2026-01-07 13:45:50,Gun-Detector,person,0.829,3,137,485,479
2026-01-07 13:45:50,Gun-Detector,person,0.859,12,138,484,479
2026-01-07 13:45:50,Gun-Detector,person,0.825,512,75,639,479
2026-01-07 13:45:50,Gun-Detector,person,0.840,0,137,484,479
2026-01-07 13:45:50,Gun-Detector,person,0.837,512,87,639,479
2026-01-07 13:45:51,Gun-Detector,person,0.853,3,138,485,479
2026-01-07 13:45:51,Gun-Detector,person,0.846,512,81,639,479
2026-01-07 13:45:51,Gun-Detector,person,0.851,1,138,484,479
2026-01-07 13:45:51,Gun-Detector,person,0.841,512,81,639,479
2026-01-07 13:45:51,Gun-Detector,person,0.835,512,84,639,479
2026-01-07 13:45:51,Gun-Detector,person,0.830,2,138,484,479
2026-01-07 13:45:51,Gun-Detector,person,0.844,513,85,639,479
2026-01-07 13:45:51,Gun-Detector,person,0.819,5,137,484,479
2026-01-07 13:45:51,Gun-Detector,person,0.847,0,138,484,479
2026-01-07 13:45:51,Gun-Detector,person,0.826,512,83,639,479
2026-01-07 13:45:52,Gun-Detector,person,0.836,20,137,483,479
2026-01-07 13:45:52,Gun-Detector,person,0.825,512,80,639,479
2026-01-07 13:45:52,Gun-Detector,person,0.827,512,85,639,479
2026-01-07 13:45:52,Gun-Detector,person,0.826,13,137,484,479
2026-01-07 13:45:52,Gun-Detector,person,0.836,5,136,484,479
2026-01-07 13:45:52,Gun-Detector,person,0.831,512,87,639,479
2026-01-07 13:45:52,Gun-Detector,person,0.842,7,134,484,479
2026-01-07 13:45:52,Gun-Detector,person,0.809,512,83,639,478
2026-01-07 13:45:52,Gun-Detector,person,0.845,9,134,484,479
2026-01-07 13:45:52,Gun-Detector,person,0.811,513,69,639,478
2026-01-07 13:45:52,Gun-Detector,person,0.859,21,136,484,479
2026-01-07 13:45:52,Gun-Detector,person,0.791,513,76,639,478
2026-01-07 13:45:53,Gun-Detector,person,0.824,5,137,484,479
2026-01-07 13:45:53,Gun-Detector,person,0.808,512,86,639,478
2026-01-07 13:45:53,Gun-Detector,person,0.852,1,132,496,479
2026-01-07 13:45:53,Gun-Detector,person,0.809,513,74,639,478
2026-01-07 13:45:53,Gun-Detector,person,0.859,14,134,484,479
2026-01-07 13:45:53,Gun-Detector,person,0.819,512,87,639,478
2026-01-07 13:45:53,Gun-Detector,person,0.825,512,89,639,479
2026-01-07 13:45:53,Gun-Detector,person,0.819,12,136,485,479
2026-01-07 13:45:53,Gun-Detector,person,0.837,13,137,484,479
2026-01-07 13:45:53,Gun-Detector,person,0.829,512,75,639,478
2026-01-07 13:45:53,Gun-Detector,person,0.835,512,85,639,478
2026-01-07 13:45:53,Gun-Detector,person,0.830,9,137,484,479
2026-01-07 13:45:54,Gun-Detector,person,0.844,512,90,639,479
2026-01-07 13:45:54,Gun-Detector,person,0.828,19,137,484,479
2026-01-07 13:45:54,Gun-Detector,person,0.847,45,138,485,479
2026-01-07 13:45:54,Gun-Detector,person,0.835,512,79,639,478
2026-01-07 13:45:54,Gun-Detector,person,0.827,513,66,639,478
2026-01-07 13:45:54,Gun-Detector,person,0.823,9,139,484,479
2026-01-07 13:45:54,Gun-Detector,person,0.842,26,139,484,479
2026-01-07 13:45:54,Gun-Detector,person,0.830,512,65,639,478
2026-01-07 13:45:54,Gun-Detector,person,0.836,4,138,485,479
2026-01-07 13:45:54,Gun-Detector,person,0.814,512,76,639,478
2026-01-07 13:45:55,Gun-Detector,person,0.837,2,138,484,479
2026-01-07 13:45:55,Gun-Detector,person,0.832,512,73,639,478
2026-01-07 13:45:55,Gun-Detector,person,0.833,17,136,484,479
2026-01-07 13:45:55,Gun-Detector,person,0.820,513,65,639,478
2026-01-07 13:45:55,Gun-Detector,person,0.838,19,135,484,479
2026-01-07 13:45:55,Gun-Detector,person,0.819,512,89,639,478
2026-01-07 13:45:55,Gun-Detector,person,0.848,1,136,485,479
2026-01-07 13:45:55,Gun-Detector,person,0.837,512,87,639,479
2026-01-07 13:45:55,Gun-Detector,person,0.836,512,94,639,479
2026-01-07 13:45:55,Gun-Detector,person,0.831,10,137,485,479
2026-01-07 13:45:55,Gun-Detector,person,0.853,512,92,639,479
2026-01-07 13:45:55,Gun-Detector,person,0.841,7,136,485,479
2026-01-07 13:45:56,Gun-Detector,person,0.866,511,103,639,479
2026-01-07 13:45:56,Gun-Detector,person,0.843,12,135,485,479
2026-01-07 13:45:56,Gun-Detector,person,0.873,511,104,639,479
2026-01-07 13:45:56,Gun-Detector,person,0.827,0,135,488,479
2026-01-07 13:45:56,Gun-Detector,person,0.845,9,134,485,479
2026-01-07 13:45:56,Gun-Detector,person,0.842,512,105,639,479
2026-01-07 13:45:56,Gun-Detector,person,0.861,512,101,639,479
2026-01-07 13:45:56,Gun-Detector,person,0.861,6,129,484,479
2026-01-07 13:45:56,Gun-Detector,person,0.864,2,127,485,479
2026-01-07 13:45:56,Gun-Detector,person,0.841,512,104,639,479
2026-01-07 13:45:57,Gun-Detector,person,0.868,1,126,485,479
2026-01-07 13:45:57,Gun-Detector,person,0.841,512,104,639,479
2026-01-07 13:45:57,Gun-Detector,person,0.861,7,127,485,479
2026-01-07 13:45:57,Gun-Detector,person,0.858,512,101,639,479
2026-01-07 13:45:57,Gun-Detector,person,0.878,2,128,485,479
2026-01-07 13:45:57,Gun-Detector,person,0.841,512,104,639,479
2026-01-07 13:45:57,Gun-Detector,person,0.863,6,124,485,479
2026-01-07 13:45:57,Gun-Detector,person,0.852,512,105,639,479
2026-01-07 13:45:57,Gun-Detector,person,0.874,3,122,495,479
2026-01-07 13:45:57,Gun-Detector,person,0.836,511,77,639,478
2026-01-07 13:45:57,Gun-Detector,person,0.870,16,129,484,479
2026-01-07 13:45:57,Gun-Detector,person,0.778,512,87,639,478
2026-01-07 13:45:58,Gun-Detector,person,0.866,1,129,484,479
2026-01-07 13:45:58,Gun-Detector,person,0.839,511,104,639,479
2026-01-07 13:45:58,Gun-Detector,person,0.852,3,129,484,479
2026-01-07 13:45:58,Gun-Detector,person,0.841,511,103,639,479
2026-01-07 13:45:58,Gun-Detector,person,0.850,2,131,484,479
2026-01-07 13:45:58,Gun-Detector,person,0.836,512,100,639,479
2026-01-07 13:45:59,Gun-Detector,person,0.868,10,126,485,479
2026-01-07 13:45:59,Gun-Detector,person,0.790,512,93,639,478
2026-01-07 13:45:59,Gun-Detector,person,0.853,10,126,495,479
2026-01-07 13:45:59,Gun-Detector,person,0.834,512,105,639,479
2026-01-07 13:45:59,Gun-Detector,person,0.850,3,127,498,479
2026-01-07 13:45:59,Gun-Detector,person,0.824,511,94,639,479
2026-01-07 13:45:59,Gun-Detector,person,0.825,512,103,639,479
2026-01-07 13:45:59,Gun-Detector,person,0.819,2,132,494,479
2026-01-07 13:45:59,Gun-Detector,person,0.854,12,133,483,479
2026-01-07 13:45:59,Gun-Detector,person,0.820,511,79,639,478
2026-01-07 13:45:59,Gun-Detector,person,0.849,513,92,639,479
2026-01-07 13:45:59,Gun-Detector,person,0.841,5,129,485,480
2026-01-07 13:46:00,Gun-Detector,person,0.845,10,132,483,479
2026-01-07 13:46:00,Gun-Detector,person,0.834,512,95,639,479
2026-01-07 13:46:00,Gun-Detector,person,0.857,1,131,493,479
2026-01-07 13:46:00,Gun-Detector,person,0.813,512,83,639,479
2026-01-07 13:46:00,Gun-Detector,person,0.865,0,132,484,479
